q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,20.7321,6675,9.64216,11706,13.3976,3309
2,20.7307,6676,9.21619,12930,13.3976,3309
3,20.3727,7112,8.82647,14030,12.5104,3824
4,17.6774,8423,8.60332,14972,11.9578,4298
5,14.6625,9936,8.32938,15846,11.9578,4298
6,12.8648,11635,8.17619,16516,11.4255,4787
7,11.5274,13252,8.00333,17142,11.4255,4787
8,10.8164,14889,7.87234,17828,10.9453,5349
9,10.1724,16659,7.73661,18574,10.585,5791
10,9.49023,18346,7.57028,19288,10.585,5791
11,8.98361,19819,7.413,19998,10.1939,6306
12,8.60178,21174,7.29588,20652,9.79857,6936
13,8.21761,22748,7.14372,21304,9.79857,6936
14,7.9147,24003,7.07228,21750,9.44149,7515
15,7.64413,25392,6.98915,22154,9.44149,7515
16,7.35714,26786,6.86375,22874,9.11961,8140
17,7.16418,28118,6.79038,23210,8.8252,8761
18,6.97379,29426,6.71355,23746,8.8252,8761
19,6.80218,30510,6.61402,24476,8.54643,9454
20,6.66203,31604,6.51603,25184,8.25433,10157
21,6.46755,32987,6.4353,25764,8.25433,10157
22,6.35673,34120,6.35211,26246,7.97381,10970
23,6.20829,35323,6.29745,26728,7.97381,10970
24,6.06769,36501,6.25683,27276,7.722,11809
25,5.96581,37641,6.17653,27890,7.46098,12642
26,5.86814,38790,6.09886,28744,7.46098,12642
27,5.73689,39910,6.04453,29374,7.16743,13695
28,5.66543,41232,5.97453,29892,6.91768,14704
29,5.56447,42113,5.89602,30312,6.91768,14704
30,5.46899,43183,5.82115,31166,6.68127,15850
31,5.41191,44237,5.74046,31704,6.47113,16817
32,5.34047,45119,5.67796,32448,6.47113,16817
33,5.25118,46338,5.66938,32524,6.21522,18163
34,5.19487,46944,5.57917,33232,6.21522,18163
35,5.10169,48235,5.54435,33818,6.00494,19427
36,5.04393,49311,5.4499,34550,5.79036,20823
37,5.01109,49874,5.40875,35366,5.79036,20823
38,4.93206,51295,5.37914,35434,5.59754,22322
39,4.88686,52130,5.28156,36806,5.40149,23904
40,4.83657,52521,5.20794,37594,5.40149,23904
41,4.76526,53967,5.17662,37852,5.20123,25680
42,4.72771,54791,5.1179,38464,5.20123,25680
43,4.69087,55365,5.06588,39350,5.01595,27422
44,4.62053,56683,5.0261,39670,4.83697,29479
45,4.59517,57447,4.9759,40438,4.83697,29479
46,4.54184,58593,4.96538,40652,4.65539,31530
47,4.51415,58996,4.91069,41422,4.49973,33600
48,4.48932,59916,4.86023,42010,4.49973,33600
49,4.41328,61486,4.83169,42366,4.34763,35674
50,4.40014,61613,4.80973,42784,4.34763,35674
51,4.38682,61782,4.74368,43714,4.18767,38201
52,4.30998,63398,4.68215,44896,4.0173,41228
53,4.28281,64533,4.67841,45044,4.0173,41228
54,4.25268,65099,4.68723,45706,3.89814,43455
55,4.21845,65915,4.60809,46906,3.77573,46051
56,4.18014,67038,4.60809,46906,3.77573,46051
57,4.14048,68339,4.5272,47440,3.6582,48729
58,4.0816,69671,4.49149,48104,3.52985,51918
59,4.05579,70303,4.44179,49144,3.52985,51918
60,4.01763,71353,4.40462,49622,3.39661,55489
61,3.9739,72830,4.38776,49774,3.39661,55489
62,3.94449,73633,4.36867,51088,3.25698,59631
63,3.89759,75223,4.35843,51342,3.1639,62631
64,3.85732,76147,4.25163,52632,3.1639,62631
65,3.81224,77986,4.21619,53494,3.09011,65111
66,3.7733,79115,4.22865,53696,3.02999,68005
67,3.7216,80377,4.16783,54400,3.02999,68005
68,3.67424,82424,4.15624,55154,2.94164,71241
69,3.63626,83867,4.12547,55744,2.94164,71241
70,3.57995,86068,4.10836,55882,2.85565,74730
71,3.52495,87765,4.04148,57686,2.77308,78303
72,3.48704,89133,3.99619,58510,2.77308,78303
73,3.44315,91318,3.99619,58510,2.69386,82251
74,3.36986,94623,3.92952,60808,2.60895,86604
75,3.34963,95095,3.91985,61030,2.60895,86604
76,3.28684,97362,3.8055,63222,2.51384,91773
77,3.20471,101172,3.69871,67124,2.4226,97268
78,3.17215,103990,3.57984,70016,2.4226,97268
79,3.12476,106177,3.51107,72980,2.33719,103166
80,3.0629,109277,3.37666,76976,2.33719,103166
81,2.98215,113488,3.33859,77832,2.23965,110076
82,2.92755,116610,3.14774,85672,2.13405,118271
83,2.86295,121464,3.07055,90932,2.13405,118271
84,2.80057,125150,2.99164,93740,2.03271,126898
85,2.73062,129068,2.84562,99248,1.9293,137014
86,2.65541,135204,2.73833,106028,1.9293,137014
87,2.58716,139444,2.63005,111638,1.815,149690
88,2.50269,147261,2.48578,118650,1.815,149690
89,2.42902,153056,2.39215,127360,1.70235,163053
90,2.24942,183901,2.23711,138606,1.59745,179961
91,2.11708,194464,2.13196,146398,1.59745,179961
92,2.02308,204167,2.01066,158540,1.48513,198529
93,1.90661,221272,1.86215,171352,1.36867,221647
94,1.77775,243602,1.7311,188674,1.36867,221647
95,1.64467,268340,1.60332,202372,1.26592,247618
96,1.46844,306816,1.50978,216118,1.26592,247618
97,1.28951,346848,1.39143,237260,1.14526,286224
98,1.07622,396638,1.33133,248744,1.03981,335439
99,0.848,489147,1.25981,265552,1.03981,335439
