q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,22.6883,0.009702888047149558,10.677,0.01550513476185918,15.2064,0.007597874988034842
2,22.6857,0.009707161317671511,10.3271,0.016617894405776094,15.2064,0.007597874988034842
3,22.0537,0.010341314663129538,9.98566,0.01769304926909981,14.0852,0.008206388710361143
4,18.8772,0.011731836890973485,9.79058,0.01840924940857936,13.3983,0.008740547525605437
5,15.9572,0.013220644340822383,9.54749,0.01919724049282774,13.3983,0.008740547525605437
6,14.2574,0.014775260156709377,9.39958,0.01989292893380191,12.8536,0.009231118981525796
7,13.1591,0.016340131821849062,9.26507,0.020486058882249174,12.8536,0.009231118981525796
8,12.4153,0.017896456945944838,9.13687,0.021051839899355933,12.3563,0.009746475406473491
9,11.6535,0.019331421187217108,8.98335,0.021668900162726143,11.9052,0.010279779567613395
10,11.1085,0.02076382146617621,8.83383,0.022212460173118734,11.9052,0.010279779567613395
11,10.5862,0.02210733771827866,8.69788,0.022925241696180723,11.4604,0.010836159389571852
12,10.1907,0.02328676038233806,8.61953,0.02340384799463961,11.0674,0.01138313801638201
13,9.80802,0.02457216015534193,8.47637,0.02409269920277865,11.0674,0.01138313801638201
14,9.51023,0.025700303573137878,8.37987,0.02455250311094094,10.6996,0.01196173884505463
15,9.23185,0.026931860137565124,8.26185,0.024996923245224192,10.6996,0.01196173884505463
16,8.98368,0.028146323619904552,8.1688,0.02566868137127542,10.3607,0.012564269988650194
17,8.75517,0.02929925200672784,8.10519,0.026128485279437706,10.048,0.013104411382625225
18,8.52271,0.03044192454429843,8.01644,0.026566068180885832,10.048,0.013104411382625225
19,8.36543,0.03145127104158405,7.90897,0.027200221526343858,9.75121,0.013818902213895992
20,8.21565,0.032483693199688225,7.83322,0.02765147889346224,9.49382,0.01436673549481054
21,8.02155,0.033623801774945644,7.76609,0.028126666575503563,9.49382,0.01436673549481054
22,7.89868,0.03469724733006058,7.65807,0.028738598914247425,9.18874,0.01511199387383938
23,7.7581,0.035783512696741376,7.59306,0.02913344911047601,9.18874,0.01511199387383938
24,7.61275,0.03687319667983974,7.53094,0.029571032011924132,8.9407,0.01579913577376964
25,7.50811,0.03780476965362579,7.50347,0.03023595290514023,8.67443,0.01658541754980924
26,7.41803,0.03885684885613094,7.43499,0.03085472247671922,8.67443,0.01658541754980924
27,7.27521,0.03985850346647705,7.34501,0.03149400374680359,8.43493,0.01747511247248014
28,7.18566,0.04093365832980076,7.23167,0.0321674711810636,8.18027,0.018297289720904157
29,7.09793,0.04169857375323059,7.17132,0.03268710087653325,8.18027,0.018297289720904157
30,7.0107,0.04263612930574738,7.0948,0.033271684283936606,7.94035,0.019289543136101955
31,6.93897,0.043532661461253404,7.0378,0.03366824378837397,7.71525,0.020262139506898768
32,6.85771,0.04436338525072133,6.95596,0.034232315497271945,7.71525,0.020262139506898768
33,6.77248,0.045439394768149434,6.89832,0.034745107959906464,7.48979,0.021380881729546417
34,6.71289,0.04594449534384444,6.87073,0.03496902733525688,7.48979,0.021380881729546417
35,6.64283,0.04705212706313501,6.79557,0.0357535998030877,7.27053,0.02251158910965554
36,6.56713,0.047948659218641033,6.74745,0.036158705848568964,7.06403,0.023791006303928674
37,6.51835,0.0485135855816434,6.67496,0.03671081240000547,7.06403,0.023791006303928674
38,6.45292,0.04958104855802759,6.60073,0.03758255958648416,6.86659,0.025118284128047695
39,6.40462,0.05033228951578717,6.49607,0.038167142993887515,6.67067,0.02646436434246332
40,6.37258,0.05067329650343913,6.46017,0.03868164476473082,6.67067,0.02646436434246332
