q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,29.9563,0.43232972814966386,17.855,0.3782519731072786,23.8853,0.467699503069278
2,29.9462,0.43232972814966386,17.4522,0.38292896813797134,23.8853,0.467699503069278
3,28.017,0.4349605378544285,16.3118,0.38409821689564455,23.0887,0.4688687518269512
4,25.6774,0.4375913475591932,16.0769,0.38526746565331776,21.0707,0.4717918737211342
5,24.9198,0.4413914060216311,15.3095,0.3864367144109909,21.0707,0.4717918737211342
6,21.6785,0.4463607132417422,14.957,0.38877521192633735,19.9748,0.4738380590470623
7,20.2897,0.4484068985676703,14.6018,0.3905290850628471,19.9748,0.4738380590470623
8,18.9532,0.45249926921952643,14.7359,0.3928675825781935,18.0994,0.47529961999415377
9,18.626,0.45454545454545453,14.0829,0.3934522069570301,16.5999,0.47939199064600996
10,17.7551,0.45776088862905584,13.2131,0.3952060800935399,16.5999,0.47939199064600996
11,17.0405,0.4595147617655656,13.4285,0.39637532885121307,16.1628,0.48026892721426484
12,16.4768,0.46185325928091203,13.2313,0.3969599532300497,16.3173,0.48026892721426484
13,15.9279,0.4668225665010231,13.1489,0.3975445776088863,16.3173,0.48026892721426484
14,15.5536,0.4691610640163695,12.8281,0.39988307512423266,14.6208,0.48289973691902954
15,15.352,0.4712072493422976,12.5837,0.40105232388190587,14.6208,0.48289973691902954
16,14.7967,0.47354574685764395,12.5843,0.4016369482607425,15.0929,0.48494592224495764
17,14.441,0.4744226834258989,12.9126,0.4016369482607425,13.8345,0.4881613563285589
18,13.8282,0.47880736626717335,12.6025,0.40339082139725224,13.8345,0.4881613563285589
19,13.8855,0.47939199064600996,12.0431,0.40514469453376206,13.348,0.4881613563285589
20,13.7477,0.4805612394036831,11.5023,0.4068985676702718,12.8144,0.49108447822274187
21,13.2971,0.4820228003507746,11.5504,0.40748319204910843,12.8144,0.49108447822274187
22,13.0809,0.4840689856767027,11.4539,0.40806781642794504,12.6095,0.490207541654487
23,13.0148,0.4855305466237942,11.4129,0.4104063139432914,12.6095,0.490207541654487
24,12.6872,0.48640748319204913,11.4812,0.410990938322128,12.0573,0.4922537269804151
25,12.5883,0.4881613563285589,11.5896,0.410990938322128,11.9774,0.4948845366851798
26,12.3525,0.49049985384390526,10.8042,0.41332943583747445,11.9774,0.4948845366851798
27,12.1945,0.4916691026015785,10.6542,0.413914060216311,11.4891,0.49517684887459806
28,12.1193,0.4928383513592517,10.1321,0.4156679333528208,10.9062,0.49956153171587253
29,12.0447,0.49517684887459806,10.2273,0.41683718211049403,10.9062,0.49956153171587253
30,11.8607,0.4969307220111079,10.0047,0.4185910552470038,9.81124,0.5016077170418006
31,11.6536,0.498976907337036,10.0346,0.4180064308681672,9.23356,0.5057000876936568
32,11.4951,0.5010230926629641,9.97607,0.4180064308681672,9.23356,0.5057000876936568
33,11.214,0.5024846536100556,9.84022,0.42092955276235017,8.98449,0.50686933645133
34,11.1077,0.5036539023677288,10.0173,0.4215141771411868,8.98449,0.50686933645133
35,10.8949,0.5059923998830751,10.0057,0.4215141771411868,9.13492,0.509792458345513
36,10.8076,0.507746273019585,9.29517,0.42560654779304297,8.48233,0.5141771411867875
37,10.7315,0.5092078339666765,9.26255,0.4261911721718796,8.48233,0.5141771411867875
38,10.6651,0.5095001461560947,9.14026,0.42794504530838934,8.29718,0.5124232680502777
39,10.5434,0.5109617071031862,9.17789,0.42911429406606255,7.8467,0.518561824028062
40,10.4811,0.5112540192926045,8.94004,0.43028354282373577,7.8467,0.518561824028062
41,10.3884,0.5115463314820228,8.75396,0.43203741596024553,7.84509,0.5153463899444607
42,10.4236,0.5121309558608594,8.67969,0.4314527915814089,7.84509,0.5153463899444607
43,10.3966,0.5138848289973692,8.48424,0.43320666471791874,7.28623,0.5235311312481731
44,10.2997,0.5171002630809705,8.72651,0.43379128909675535,7.20829,0.5255773165741011
45,10.2009,0.5179771996492254,8.34532,0.4355451622332651,7.20829,0.5255773165741011
46,10.1194,0.5191464484068986,8.26233,0.43671441099093833,6.9777,0.529377375036539
47,10.0803,0.5200233849751534,8.07287,0.4384682841274481,6.53853,0.532300496930722
48,10.024,0.5217772581116633,7.9354,0.4396375328851213,6.53853,0.532300496930722
49,10.0467,0.5223618824904999,7.84463,0.4396375328851213,6.61259,0.5358082432037415
50,9.935,0.5232388190587548,7.79036,0.4408067816427945,6.61259,0.5358082432037415
51,9.8435,0.5238234434375914,7.66752,0.4437299035369775,6.29922,0.5372698041508331
52,9.64702,0.5249926921952646,7.75339,0.4419760304004677,6.106,0.5425314235603624
53,9.58909,0.5267465653317743,7.80314,0.4431452791581409,6.106,0.5425314235603624
54,9.45793,0.5282081262788658,7.68771,0.4443145279158141,5.88855,0.5448699210757089
55,9.38186,0.5290850628471208,7.51772,0.4472376498099971,5.75565,0.5477930429698918
56,9.3567,0.529377375036539,7.51772,0.4472376498099971,5.75565,0.5477930429698918
57,9.31412,0.5314235603624671,7.36458,0.44957614732534346,5.64985,0.5513007892429115
58,9.23527,0.5334697456883952,7.34365,0.45074539608301667,5.53955,0.5545162233265127
59,9.14543,0.53434668225665,7.27779,0.45016077170418006,5.53955,0.5545162233265127
60,9.04883,0.5358082432037415,7.15339,0.4519146448406899,5.3183,0.560654779304297
61,9.06373,0.538146740719088,7.22864,0.4519146448406899,5.3183,0.560654779304297
62,8.99846,0.5396083016661795,7.18852,0.45249926921952643,5.1962,0.5665010230926629
63,8.94195,0.5425314235603624,7.0229,0.45425314235603625,5.06412,0.5688395206080094
64,8.8553,0.5434083601286174,7.11578,0.45717626425021923,5.06412,0.5688395206080094
65,8.72654,0.5445776088862906,7.07403,0.456007015492546,5.00833,0.5708857059339374
66,8.67866,0.5460391698333821,6.74304,0.45717626425021923,5.0085,0.5700087693656826
67,8.55775,0.5472084185910553,6.78841,0.45717626425021923,5.0085,0.5700087693656826
68,8.4699,0.5492546039169833,6.79617,0.45776088862905584,4.92509,0.5784858228588132
69,8.46341,0.5513007892429115,6.71124,0.4606840105232388,4.92509,0.5784858228588132
70,8.42944,0.554808535515931,6.71124,0.4606840105232388,4.75597,0.5776088862905583
71,8.39597,0.5565624086524408,6.54304,0.4630225080385852,4.71957,0.5825781935106694
72,8.3082,0.5586085939783689,6.53811,0.46243788365974864,4.71957,0.5825781935106694
73,8.24915,0.5624086524408067,6.53811,0.46243788365974864,4.65164,0.583162817889506
74,8.10693,0.5662087109032446,6.42683,0.4665302543116048,4.61611,0.5863782519731073
75,8.01799,0.5676702718503361,6.42683,0.4665302543116048,4.61611,0.5863782519731073
76,7.84023,0.572347266881029,5.98115,0.47413037123648055,4.52056,0.5898859982461269
77,7.68624,0.5758550131540485,5.91517,0.47705349313066353,4.45759,0.5931014323297281
78,7.54821,0.580239695995323,5.73244,0.4805612394036831,4.45759,0.5931014323297281
79,7.44787,0.5822858813212511,5.73598,0.4834843612978661,4.35339,0.594855305466238
80,7.35655,0.5840397544577609,5.57207,0.4887459807073955,4.35339,0.594855305466238
81,7.33137,0.5887167494884537,5.29098,0.49459222449576146,4.23875,0.6042092955276235
82,7.30821,0.5922244957614733,5.23303,0.4963460976322713,4.22129,0.6106401636948261
83,7.1877,0.5974861151710026,5.08659,0.5021923414206373,4.22129,0.6106401636948261
84,7.00316,0.6033323589593687,4.94744,0.5074539608301666,4.1612,0.6144402221572639
85,6.70233,0.6103478515054078,4.79001,0.5133002046185325,4.10611,0.6220403390821397
86,6.45491,0.6164864074831921,4.68157,0.518561824028062,4.10611,0.6220403390821397
87,6.3296,0.6220403390821397,4.58204,0.5267465653317743,4.0282,0.6270096463022508
88,6.16636,0.6319789535223619,4.39879,0.5384390529085062,4.0282,0.6270096463022508
89,5.93993,0.6389944460684011,4.4236,0.5431160479391991,4.00573,0.6401636948260743
90,3.72207,0.7035954399298451,4.25841,0.5559777842736042,3.95665,0.644840689856767
91,3.49582,0.7179187372113417,4.2161,0.5629932768196434,3.95665,0.644840689856767
92,3.25328,0.7351651563870213,4.04153,0.5776088862905583,3.88529,0.6600409237065186
93,3.05445,0.7550423852674657,4.02014,0.5910552470038001,3.83948,0.6705641625255773
94,2.74699,0.7816427945045309,4.00778,0.5945629932768196,3.83948,0.6705641625255773
95,2.43406,0.8132125109617071,3.75753,0.6121017246419176,3.81371,0.684887459807074
96,2.07849,0.8614440222157264,3.68428,0.6226249634609763,3.81371,0.684887459807074
97,1.69558,0.9111370944168372,3.60037,0.6454253142356037,3.75503,0.7138263665594855
98,1.28697,0.9812920198772289,3.53493,0.6600409237065186,3.71745,0.7424729611224788
99,0.80089,1.0982168956445484,3.54644,0.6740719087985969,3.71745,0.7424729611224788
