q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,20.7321,0.006826081665502568,9.64216,0.011970953105074617,13.3976,0.0033838957649659925
2,20.7307,0.006827104299459947,9.21619,0.013222657068906098,13.3976,0.0033838957649659925
3,20.3727,0.007272972704877044,8.82647,0.014347554422022627,12.5104,0.003910552253016003
4,17.6774,0.00861364582300047,8.60332,0.015310875609873327,11.9578,0.004395280748813489
5,14.6625,0.010160891000514385,8.32938,0.016204657688622278,11.9578,0.004395280748813489
6,12.8648,0.011898346094100731,8.17619,0.01688982244006598,11.4255,0.004895348753971655
7,11.5274,0.013551945203182028,8.00333,0.01752999129738502,11.4255,0.004895348753971655
8,10.8164,0.015225996991410898,7.87234,0.018231518192146783,10.9453,0.005470069038018463
9,10.1724,0.01703605909597113,7.73661,0.018994403124351265,10.585,0.005922073247179831
10,9.49023,0.018761242582068932,7.57028,0.019724563769919632,10.585,0.005922073247179831
11,8.98361,0.0202675824012877,7.413,0.02045063387965848,10.1939,0.006448729735229842
12,8.60178,0.021653251413535787,7.29588,0.021119436487784127,9.79857,0.007092989128378399
13,8.21761,0.023262877262449803,7.14372,0.021786193827995015,9.79857,0.007092989128378399
14,7.9147,0.024546282878960022,7.07228,0.022242288572985897,9.44149,0.007685094189700644
15,7.64413,0.025966721445758983,6.98915,0.022655432691766876,9.44149,0.007685094189700644
16,7.35714,0.02739227318234484,6.86375,0.023391729141079513,9.11961,0.008324240413062308
17,7.16418,0.028754421613573215,6.79038,0.023735334150758743,8.8252,0.008959296100594457
18,6.97379,0.030092026829824505,6.71355,0.024283465951913705,8.8252,0.008959296100594457
19,6.80218,0.031200562039622976,6.61402,0.02502998874080013,8.54643,0.00966798143305787
20,6.66203,0.03231932358899523,6.51603,0.025754013582624222,8.25433,0.01038689310509507
21,6.46755,0.03373362635204992,6.4353,0.026347141277903847,8.25433,0.01038689310509507
22,6.35673,0.03489227062575995,6.35211,0.026840050845360362,7.97381,0.01121829451244392
23,6.20829,0.036122499276486475,6.29745,0.027332960412816874,7.97381,0.01121829451244392
24,6.06769,0.03732716207827854,6.25683,0.027893363821460383,7.722,0.012076284402684618
25,5.96581,0.038492964789690214,6.17653,0.028521261071290882,7.46098,0.012928138489181043
26,5.86814,0.0396679712067183,6.09886,0.029394590470892257,7.46098,0.012928138489181043
27,5.73689,0.040813321238982396,6.04453,0.030038849864040814,7.16743,0.014004972046300775
28,5.66543,0.04216524333063699,5.97453,0.030568574253962963,6.91768,0.015036809709295844
29,5.56447,0.04306618384708759,5.89602,0.030998080516062,6.91768,0.015036809709295844
30,5.46899,0.04416040218148276,5.82115,0.031871409915663375,6.68127,0.016208748224451792
31,5.41191,0.04523825837255987,5.74046,0.032421586984733096,6.47113,0.01719763526123696
32,5.34047,0.046140221522967845,5.67796,0.03318242664902282,6.47113,0.01719763526123696
33,5.25118,0.04738681231701244,5.66938,0.0332601468297836,6.21522,0.018574100567868637
34,5.19487,0.04800652849518391,5.57917,0.033984171671607694,6.21522,0.018574100567868637
35,5.10169,0.04932674893415976,5.54435,0.03458343517063159,6.00494,0.019866709889995265
36,5.04393,0.050427103072299195,5.4499,0.03533200322743277,5.79036,0.021294306894495876
37,5.01109,0.051002845990303386,5.40875,0.036166472536653754,5.79036,0.021294306894495876
38,4.93206,0.052456008843738466,5.37914,0.03623601164575551,5.59754,0.022827235196606493
39,4.88686,0.053309908198149646,5.28156,0.03763906543527903,5.40149,0.024445042117179534
40,4.83657,0.053709758075484705,5.20794,0.038444900993693416,5.40149,0.024445042117179534
41,4.76526,0.05518848677785425,5.17662,0.03870874055469711,5.20123,0.026261240025484037
42,4.72771,0.056031137158734264,5.1179,0.03933459253661285,5.20123,0.026261240025484037
43,4.69087,0.05661812905026962,5.06588,0.04024064622285035,5.01595,0.02804266837923767
44,4.62053,0.05796596060609469,5.0261,0.040567889089211516,4.83697,0.030146226429565576
45,4.59517,0.058747252949531995,4.9759,0.04135327196847833,4.83697,0.030146226429565576
46,4.54184,0.05991919146468794,4.96538,0.041572115635357364,4.65539,0.03224364867614921
47,4.51415,0.06033131294951154,4.91069,0.042359543782538936,4.49973,0.03436050096792304
48,4.48932,0.061272136190299906,4.86023,0.04296085254947759,4.49973,0.03436050096792304
49,4.41328,0.06287767150338441,4.83169,0.04332491023830439,4.34763,0.03648144379552638
50,4.40014,0.0630075460159715,4.80973,0.04375237123248867,4.34763,0.03648144379552638
51,4.38682,0.06318037115476849,4.74368,0.04470342081285083,4.18767,0.03906563980582226
52,4.30998,0.0648329476298924,4.68215,0.045912174150472405,4.0173,0.04216115279480748
53,4.28281,0.06599363717151718,4.67841,0.04606352397616445,4.0173,0.04216115279480748
54,4.25268,0.06657244799139352,4.68723,0.04674050765594912,3.89814,0.044438558617889756
55,4.21845,0.0674069173006145,4.60809,0.047967668404803515,3.77573,0.04709331637124476
56,4.18014,0.06855533523475074,4.60809,0.047967668404803515,3.77573,0.04709331637124476
57,4.14048,0.06988578201330038,4.5272,0.04851375493804372,3.6582,0.04983193010910482
58,4.0816,0.07124793044452875,4.49149,0.049192783885743156,3.52985,0.05309310979918537
59,4.05579,0.07189423510559206,4.44179,0.050256323201416965,3.52985,0.05309310979918537
60,4.01763,0.07296800076083966,4.40462,0.05074514223304396,3.39661,0.05674493566098457
61,3.9739,0.07447843111588795,4.38776,0.05090058259456552,3.39661,0.05674493566098457
62,3.94449,0.07529960618366302,4.36867,0.05224432361456108,3.25698,0.06098068551244699
63,3.89759,0.07692559417589509,4.35843,0.052504072639735264,3.1639,0.06404858738458298
64,3.85732,0.07787050795251296,4.25163,0.05382327044475373,3.1639,0.06404858738458298
65,3.81224,0.07975113180013232,4.21619,0.05470478091601414,3.09011,0.06658471959888206
66,3.7733,0.08090568553801283,4.22865,0.05491135297540463,3.02999,0.06954422227153591
67,3.7216,0.08219624959222471,4.16783,0.05563128728139921,3.02999,0.06954422227153591
68,3.67424,0.08428958130297882,4.15624,0.05640235328526272,2.94164,0.07285346575761326
69,3.63626,0.08576524210347623,4.12547,0.05700570732011613,2.94164,0.07285346575761326
70,3.57995,0.08801605944366668,4.10836,0.05714683080623439,2.85565,0.0764214356349074
71,3.52495,0.08975146926933826,4.04148,0.05899166246534549,2.77308,0.08007530676462137
72,3.48704,0.09115043252303227,3.99619,0.05983431284622551,2.77308,0.08007530676462137
73,3.44315,0.09338488771990465,3.99619,0.05983431284622551,2.69386,0.08411266562835232
74,3.36986,0.09676469294904112,3.92952,0.06218432568028168,2.60895,0.08856419124482164
75,3.34963,0.09724737617692386,3.91985,0.06241135041881974,2.60895,0.08856419124482164
76,3.28684,0.09956568735830128,3.8055,0.06465296405339377,2.51384,0.09385018617051194
77,3.20471,0.10346192273591398,3.69871,0.0686432817550853,2.4226,0.09946955976630768
78,3.17215,0.10634370522780705,3.57984,0.07160073915982439,2.4226,0.09946955976630768
79,3.12476,0.10858020569259419,3.51107,0.07463182620949475,2.33719,0.10550105484692704
80,3.0629,0.11175037096046804,3.37666,0.07871827150317988,2.33719,0.10550105484692704
81,2.98215,0.11605668255498959,3.33859,0.07959364617069602,2.23965,0.11256745549241359
82,2.92755,0.11924934576992577,3.14774,0.08761109639654473,2.13405,0.12094794077313173
83,2.86295,0.1242132109990418,3.07055,0.09299015101235648,2.13405,0.12094794077313173
84,2.80057,0.12798263976593954,2.99164,0.09586170716467576,2.03271,0.12977020392343744
85,2.73062,0.13198931961094915,2.84562,0.10149437500191744,1.9293,0.14011516903628
86,2.65541,0.13826420157342462,2.73833,0.10842783323294476,1.9293,0.14011516903628
87,2.58716,0.14260016955271013,2.63005,0.11416480973383906,1.815,0.1530780770800119
88,2.50269,0.15059409919753913,2.48578,0.12133551904297823,1.815,0.1530780770800119
