q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,14.6037,0.012625048570544188,6.29682,0.013145329654046009,9.36826,0.008647203324530265
2,14.6024,0.012626365737844192,6.03447,0.013624778551247687,9.36826,0.008647203324530265
3,14.4307,0.012789694483044765,5.86013,0.01405417509104919,8.55904,0.008939614465131288
4,14.6105,0.013234897030446321,5.6878,0.014278093532049974,8.11365,0.009121383552531925
5,10.6767,0.013756495281248149,5.60126,0.01452835531905085,8.11365,0.009121383552531925
6,9.39139,0.014195111992149683,5.51441,0.01476017676385166,7.64567,0.009299201138032547
7,8.56215,0.014769396934951693,5.42288,0.015002535547052508,7.64567,0.009299201138032547
8,8.01348,0.015297581022253542,5.36325,0.015260700337853412,7.27726,0.009502044902233258
9,7.49252,0.015881086136155582,5.26528,0.015489887448054214,6.92131,0.00972596334323404
10,7.2481,0.016475128588457663,5.17466,0.015755955242655145,6.92131,0.00972596334323404
11,7.08905,0.017127126401959944,5.12152,0.015932455660855764,6.63819,0.009927489940134746
12,6.68698,0.01770931434856198,5.08032,0.016130030755856454,6.42181,0.01013428520623547
13,6.29645,0.01827174478566395,4.97194,0.01631706851245711,6.42181,0.01013428520623547
14,6.04491,0.01878017136346573,4.90049,0.016512009272857793,6.21695,0.010314737126336102
15,5.89768,0.01936894514656779,4.8424,0.016728024710058548,6.21695,0.010314737126336102
16,5.79522,0.01987737172436957,4.78203,0.01695457748565934,5.98463,0.010555778742236946
17,5.59645,0.020381846800271337,4.73821,0.017210107941860234,5.84581,0.010749402335337622
18,5.38544,0.02095481457577334,4.69496,0.017304943987460568,5.84581,0.010749402335337622
19,5.33578,0.021384211115574845,4.65671,0.017621064139461674,5.69202,0.011015470129938554
20,5.20327,0.021855757008976497,4.5974,0.017863422922662523,5.50756,0.011260463247739412
21,5.07381,0.0223997471038784,4.51573,0.018182177409263638,5.50756,0.011260463247739412
22,5.02667,0.02292924835848025,4.46917,0.01834550615446421,5.33744,0.011477795852240172
23,4.84214,0.023424503263281986,4.4218,0.018603670945265112,5.33744,0.011477795852240172
24,4.81741,0.023927661171883746,4.38505,0.01882232071706588,5.23858,0.011770206992841196
25,4.81999,0.024421598909385476,4.33401,0.01898038079306643,5.0461,0.012078424141042274
26,4.80613,0.02482333493588688,4.29953,0.019235911249267327,5.0461,0.012078424141042274
27,4.67502,0.02533703018288868,4.26535,0.019412411667467943,4.90397,0.012398495794943395
28,4.59883,0.02592843830059075,4.2221,0.019615255431668654,4.77403,0.01270012710664445
29,4.53458,0.026278804802391975,4.18244,0.01979702451906929,4.77403,0.01270012710664445
30,4.49651,0.026752985030393635,4.14375,0.019984062275669946,4.64567,0.013029418931645604
31,4.39818,0.027178430068295123,4.11714,0.020176368701470618,4.49678,0.013353442087446737
32,4.37712,0.027603875106196614,4.06168,0.020542541210871897,4.49678,0.013353442087446737
33,4.31577,0.028100447178298352,4.0158,0.020761190982672664,4.3765,0.013770984121548199
34,4.2409,0.028409981493799436,3.98691,0.021132632161273965,4.3765,0.013770984121548199
35,4.2151,0.029052759136201686,3.97848,0.02111682615367391,4.26457,0.01411739912144941
36,4.1817,0.02953747670260338,3.94904,0.021298595241074546,4.13847,0.014624508531951186
37,4.15618,0.029841742348904444,3.8885,0.021672670754275855,4.13847,0.014624508531951186
38,4.14458,0.03037387793810631,3.86895,0.02185180550707648,4.02019,0.015086834254252803
39,4.11688,0.030830934991207908,3.83597,0.02216792565907759,3.92133,0.015675608037354866
40,4.08272,0.03099689807100849,3.79325,0.022407650107678426,3.92133,0.015675608037354866
41,4.02406,0.03158830618871056,3.79325,0.022407650107678426,3.79039,0.01629467666835703
42,4.01112,0.031946575694311814,3.73444,0.02270796425207948,3.79039,0.01629467666835703
43,3.99083,0.03218103147371263,3.69754,0.02293451702768027,3.72064,0.016733293379258565
44,3.95619,0.03277507392601471,3.6777,0.02323746550668133,3.60228,0.01737475385436081
45,3.94175,0.03312544042781594,3.64345,0.023532510981882363,3.60228,0.01737475385436081
46,3.89673,0.03369709103601794,3.63264,0.023666862046482835,3.50606,0.018055729348463195
47,3.8836,0.03382222192951838,3.58183,0.02401195987908404,3.43738,0.018585230603065047
48,3.86887,0.03425293563661989,3.54555,0.02428856501208501,3.43738,0.018585230603065047
49,3.80873,0.03493391113072227,3.49864,0.024544095468285905,3.37951,0.019212202237867244
50,3.79853,0.03502611284172259,3.50703,0.024575707483486014,3.37951,0.019212202237867244
51,3.78803,0.03509987421052285,3.4954,0.024649468852286274,3.27755,0.02005123780797018
52,3.7557,0.035783484039225245,3.4585,0.025210582122088238,3.19438,0.020857344195573002
53,3.74211,0.03636303765122727,3.4585,0.025210582122088238,3.19438,0.020857344195573002
54,3.7277,0.036511877556127795,3.43998,0.025489821589689213,3.14792,0.021538319689675383
55,3.71245,0.036979471947629426,3.3949,0.025769061057290193,3.08228,0.02231676556397811
56,3.69406,0.0373140324418306,3.39299,0.02595346447929084,3.08228,0.02231676556397811
57,3.66596,0.03792124656713272,3.37401,0.026066740867091234,3.03065,0.023199267654981197
58,3.61502,0.03854558386733491,3.35277,0.026609413794693133,2.9661,0.024229292483584804
59,3.59892,0.03887619285963607,3.35277,0.026609413794693133,2.9661,0.024229292483584804
60,3.57982,0.03927134304963745,3.30193,0.027028272996094598,2.9096,0.025081499726687786
61,3.57447,0.04016174814444057,3.29752,0.027083594022694793,2.9096,0.025081499726687786
62,3.55485,0.040429133106341504,3.28023,0.027318049802095613,2.8484,0.026457939555192603
63,3.52854,0.0410863995890438,3.2539,0.027557774250696453,2.80916,0.027318049802095613
64,3.48471,0.04150525879044527,3.22069,0.02803195447869811,2.80916,0.027318049802095613
65,3.43972,0.04224550681304786,3.22012,0.02806620082849823,2.78269,0.028082006836098287
66,3.41441,0.04286325827675002,3.18232,0.028456082349299597,2.74596,0.028786691341600754
67,3.38899,0.043416468542751954,3.16365,0.028740590486100594,2.74596,0.028786691341600754
68,3.36824,0.044250235443654876,3.16467,0.028803814516500815,2.71323,0.029686316607503902
69,3.33739,0.04501024097575754,3.13683,0.029138375010701986,2.71323,0.029686316607503902
70,3.31419,0.045871668389960554,3.13683,0.029138375010701986,2.68057,0.03081117748170784
71,3.26935,0.0469135477242642,3.10597,0.029999802424905,2.64553,0.031907060675311676
72,3.24651,0.047404851127165915,3.09529,0.030094638470505333,2.64553,0.031907060675311676
73,3.20561,0.04860347337017011,3.07939,0.03034490025750621,2.61742,0.03303982455331564
74,3.1495,0.05000230504277501,3.0819,0.030729513109107553,2.58162,0.03441494721452045
75,3.13356,0.05018802563207566,3.02658,0.03126164869830941,2.58162,0.03441494721452045
76,3.09032,0.0513142036735796,2.97923,0.0319729190403119,2.54417,0.036121996035326426
77,3.04888,0.05307130485178575,2.89986,0.03341653440111696,2.508,0.037879097213532574
78,3.02789,0.05465058844449128,2.87725,0.034090924058719316,2.508,0.037879097213532574
79,2.99575,0.05543430298799402,2.80829,0.035207881929123226,2.47849,0.039761329285239164
80,2.94481,0.05733629256920068,2.74538,0.03646709386792763,2.47849,0.039761329285239164
81,2.89896,0.05906441606680673,2.7126,0.037818507517732365,2.44979,0.04206242055834722
82,2.85611,0.06083337175071292,2.65629,0.039796892802339286,2.40583,0.045205181736158215
83,2.81168,0.06358098273852253,2.60765,0.041137769113743984,2.40583,0.045205181736158215
84,2.77114,0.0653117405707286,2.56738,0.042707832535349474,2.37256,0.04860479053747012
